,reward_ll_sum_epoch,average_ll_performance_pose,average_dones,_step,average_ll_performance_joint_target_smoothing,average_ll_performance_com,_runtime,average_ll_performance,average_ll_performance_joint_action_penalty_norm,average_ll_performance_joint_vel_smoothing,average_ll_performance_ee,average_ll_performance_vel,Iteration,_timestamp,PPO/learning_rate,PPO/surrogate,PPO/mean_noise_std,global_step,PPO/value_function
0,458.92283004866914,0.2929404046432348,0.05666,28,0.0,0.6848237403839826,106,0.9178456600973383,-0.1371692348719947,0.0,0.07725075038923357,0.0,26.0,1655320323.0,,,,,
1,405.2043555894354,0.30117203617916327,0.01206,182,0.0,0.6119504225190505,674,0.8104087111788709,-0.15106829153470694,0.0,0.04835454414155423,0.0,166.0,1655320891.0,,,,,
2,412.29945475883784,0.30725736611757426,0.01138,228,0.0,0.619382797641313,872,0.8245989095176757,-0.15310719011250884,0.0,0.05106593599835447,0.0,208.0,1655321089.0,,,,,
3,408.035525483191,0.3061537093609723,0.00958,351,0.0,0.6155013434732782,1372,0.816071050966382,-0.1555498929785192,0.0,0.04996589150713712,0.0,320.0,1655321589.0,,,,,
4,417.1057988855429,0.319054217403559,0.00696,403,0.0,0.616617464207488,1573,0.8342115977710858,-0.15132694304788485,0.0,0.049866859063420525,0.0,367.0,1655321790.0,,,,,
5,431.28742198029533,0.32823597579733005,0.00786,563,0.0,0.6302323191247784,2234,0.8625748439605907,-0.15105401877695696,0.0,0.05516056773926731,0.0,512.0,1655322451.0,,,,,
6,440.74977380719037,0.3446348527989164,0.00674,850,0.0,0.6305421428717672,3386,0.8814995476143808,-0.14820860699081792,0.0,0.05453115894939752,0.0,773.0,1655323603.0,,,,,
7,434.2777996960003,0.3464829491771851,0.00618,897,0.0,0.6189291632307881,3593,0.8685555993920006,-0.1504043055268377,0.0,0.05354779245327066,0.0,816.0,1655323810.0,,,,,
8,442.19388772098347,0.35504153480652256,0.00604,1218,0.0,0.6268563645156937,4908,0.884387775441967,-0.15117685146478937,0.0,0.05366672778923664,0.0,1108.0,1655325125.0,,,,,
9,435.19002202786504,0.35633088912885635,0.00542,1383,0.0,0.6122889524173087,5571,0.8703800440557301,-0.1483355045342818,0.0,0.05009570746446364,0.0,1258.0,1655325788.0,,,,,
10,432.0566498312447,0.35145755745915697,0.0038,2243,0.0,0.6139303731078001,9109,0.8641132996624894,-0.15154893525736407,0.0,0.05027430458057832,0.0,2040.0,1655329326.0,,,,,
11,423.59075515247883,0.3375972719807364,0.00396,2380,0.0,0.6172509192429076,9665,0.8471815103049576,-0.15745883714247494,0.0,0.04979215627009672,0.0,2164.0,1655329882.0,,,,,
12,433.76660700164734,0.36130361166608055,0.00318,2825,0.0,0.6135935906423127,11504,0.8675332140032948,-0.15527838998246937,0.0,0.047914401638875434,0.0,2569.0,1655331721.0,,,,,
13,439.69229494141416,0.36114432389468887,0.0031,2843,0.0,0.6217765248132264,11573,0.8793845898828283,-0.15178429920576514,0.0,0.04824804043488258,0.0,2585.0,1655331790.0,,,,,
14,445.3605818378553,0.3680081601394806,0.00354,2866,0.0,0.6228450340096074,11686,0.8907211636757105,-0.15154430502045899,0.0,0.05141227419591489,0.0,2606.0,1655331903.0,,,,,
15,,,,3311,,,13476,,,,,,,1655333693.3467088,0.00013954081805422902,-0.01182989589869976,0.9928827285766602,3000.0,22.058374404907227
16,447.7919057038566,0.3609995152619481,0.00382,3442,0.0,0.633750233452972,14058,0.8955838114077133,-0.15376601881846785,0.0,0.05460008189075299,0.0,3130.0,1655334275.0,,,,,
17,460.14737647898494,0.38091627768029457,0.00254,3512,0.0,0.633932522015972,14332,0.9202947529579699,-0.15105208449838683,0.0,0.056498037638202166,0.0,3193.0,1655334549.0,,,,,
18,454.6675889526494,0.3767439473848883,0.00372,3668,0.0,0.6304443433982879,14987,0.9093351779052987,-0.15308066750606522,0.0,0.055227554716930624,0.0,3335.0,1655335204.0,,,,,
19,463.57177534091284,0.381816911812732,0.00282,3681,0.0,0.638277247218825,15040,0.9271435506818257,-0.15157508721288293,0.0,0.05862447896365481,0.0,3347.0,1655335257.0,,,,,
20,459.2201208463404,0.375510965091805,0.0035,3886,0.0,0.6413556491098553,15894,0.9184402416926809,-0.15668739453554154,0.0,0.05826102223732989,0.0,3533.0,1655336111.0,,,,,
21,469.9000191035634,0.39355949214074293,0.00264,3951,0.0,0.6376539868315775,16150,0.9398000382071268,-0.15023122496221214,0.0,0.058817784198001155,0.0,3592.0,1655336367.0,,,,,
22,457.82660328894855,0.37577405364918987,0.00338,4124,0.0,0.638418997593089,16878,0.9156532065778971,-0.15653429744586347,0.0,0.05799445295185682,0.0,3750.0,1655337095.0,,,,,
23,465.379132359121,0.37874593204943463,0.0033,4287,0.0,0.6481016133580357,17541,0.930758264718242,-0.15874810851829127,0.0,0.06265882786699999,0.0,3898.0,1655337758.0,,,,,
24,,,,4686,,,19149,,,,,,,1655339366.482558,0.00013954081805422902,-0.011381739750504494,0.9911187887191772,4250.0,20.07709503173828
25,465.9161585130356,0.3788121651166491,0.00282,4854,0.0,0.6483653059630934,19896,0.9318323170260713,-0.15874248118544,0.0,0.06339732710757173,0.0,4413.0,1655340113.0,,,,,
26,468.2081419657916,0.38627700554196726,0.00222,5090,0.0,0.6410303426925815,20873,0.9364162839315832,-0.15193086083337665,0.0,0.06103979667193776,0.0,4628.0,1655341090.0,,,,,
27,469.57990051850675,0.3875071932923235,0.00136,5233,0.0,0.6433703468909138,21458,0.9391598010370136,-0.15302644344089553,0.0,0.06130870436417246,0.0,4758.0,1655341675.0,,,,,
